triggerPath,dataset
HLT_MonoCentralPFJet80_PFMETNoMu130_PFMHTNoMu130_IDTight_v,MET
HLT_MonoCentralPFJet80_PFMETNoMu140_PFMHTNoMu140_IDTight_v,MET
HLT_PFMET110_PFMHT110_IDTight_CaloBTagDeepCSV_3p1_v,MET
HLT_PFMET120_PFMHT120_IDTight_CaloBTagDeepCSV_3p1_v,MET
HLT_PFMET120_PFMHT120_IDTight_PFHT60_v,MET
HLT_PFMET120_PFMHT120_IDTight_v,MET
HLT_PFMET130_PFMHT130_IDTight_CaloBTagDeepCSV_3p1_v,MET
HLT_PFMET130_PFMHT130_IDTight_v,MET
HLT_PFMET140_PFMHT140_IDTight_CaloBTagDeepCSV_3p1_v,MET
HLT_PFMET140_PFMHT140_IDTight_v,MET
HLT_PFMET200_HBHE_BeamHaloCleaned_v,MET
HLT_PFMET250_HBHECleaned_v,MET
HLT_PFMET300_HBHECleaned_v,MET
HLT_PFMETNoMu120_PFMHTNoMu120_IDTight_PFHT60_v,MET
HLT_PFMETNoMu120_PFMHTNoMu120_IDTight_v,MET
HLT_PFMETNoMu130_PFMHTNoMu130_IDTight_v,MET
HLT_PFMETNoMu140_PFMHTNoMu140_IDTight_v,MET
HLT_PFMETTypeOne140_PFMHT140_IDTight_v,MET
HLT_PFMETTypeOne200_HBHE_BeamHaloCleaned_v,MET
HLT_Dimuon12_Upsilon_y1p4_v,MuOnia
HLT_Dimuon14_Phi_Barrel_Seagulls_v,MuOnia
HLT_Dimuon24_Phi_noCorrL1_v,MuOnia
HLT_Dimuon24_Upsilon_noCorrL1_v,MuOnia
HLT_DoubleMu3_DoubleEle7p5_CaloIdL_TrackIdL_Upsilon_v,MuOnia
HLT_DoubleMu5_Upsilon_DoubleEle3_CaloIdL_TrackIdL_v,MuOnia
HLT_Mu25_TkMu0_Phi_v,MuOnia
HLT_Trimuon5_3p5_2_Upsilon_Muon_v,MuOnia
HLT_TrimuonOpen_5_3p5_2_Upsilon_Muon_v,MuOnia
